Name,Segment,Current role,Geo,LinkedIn,Source,Why included,Conf.
Ulrich Paquet,Research,"Research Scientist, Google DeepMind","London, England, United Kingdom",https://uk.linkedin.com/in/ulrich-paquet,https://uk.linkedin.com/in/ulrich-paquet,DeepMind researcher working on Bayesian approaches to neural networks and uncertainty in large models,Medium
Anders Søgaard,Research,"Professor, University of Copenhagen","Copenhagen, Denmark",https://dk.linkedin.com/in/soegaard,https://anderssoegaard.github.io/,"European NLP leader; work on multilingual models, bias in LLMs, and cross-lingual transfer learning",High
Raquel Fernandez,Research,"Professor, University of Amsterdam","Amsterdam, Netherlands",https://nl.linkedin.com/in/raquel-fernandez,https://staff.fnwi.uva.nl/r.fernandezrovira/,Dialogue systems and computational pragmatics researcher; relevant to conversational agents and grounding,High
Ivan Googol Titov,Research,"Professor, University of Edinburgh; University of Amsterdam","Edinburgh, Scotland, United Kingdom",https://uk.linkedin.com/in/ivan-titov,https://ivan-titov.github.io/,"Works on latent structure in NLP, semantic parsing, and information extraction; bridges Edinburgh and Amsterdam",High
Giuseppe Attanasio,Research,"Postdoc, Bocconi University BIDSA","Milan, Italy",https://it.linkedin.com/in/giuseppe-attanasio,https://g8a9.github.io/,"Works on interpretability, fairness, and evaluation of language models; Italian academic diversification",Medium
Javier Ferrando,Research,"PhD student, UPC Barcelona","Barcelona, Spain",https://es.linkedin.com/in/javier-ferrando,https://javiferran.github.io/,Works on mechanistic interpretability of transformers; Spanish/EU geographic diversification,Medium
Jason Wei,Research,"Research Scientist, OpenAI","San Francisco, CA",https://www.linkedin.com/in/jason-wei-93a070102,https://www.jasonwei.net/,Originated chain-of-thought prompting research; central to reasoning and instruction-tuning work at OpenAI,High
Stella Biderman,Research/Leadership,"Executive Director, EleutherAI","Toronto, Ontario, Canada",https://ca.linkedin.com/in/stellabiderman,https://www.eleuther.ai/,"Leads EleutherAI open-source LLM collective; work on GPT-NeoX, Pythia, and open evaluation frameworks",High
Lewis Tunstall,Applied Eng,"Machine Learning Engineer, Hugging Face","Zurich, Switzerland",https://ch.linkedin.com/in/lewis-tunstall,https://huggingface.co/lewtun,Co-author of NLP with Transformers book; builds alignment and fine-tuning tooling (TRL) at Hugging Face,High
Nathan Lambert,Research/Eng,"Research Scientist, Allen Institute for AI (AI2)","Seattle, WA",https://www.linkedin.com/in/nathan-lambert-54829a117,https://www.natolambert.com/,"Works on RLHF, open LLM training, and model evaluation at AI2; high-visibility blog on LLM training practices",High
Luca Soldaini,Research/Eng,"Research Scientist, Allen Institute for AI (AI2)","Seattle, WA",https://www.linkedin.com/in/lucasoldaini,https://soldaini.net/,Core contributor to Dolma dataset and OLMo open LLM at AI2; data curation and open-model engineering,High
Maxime Labonne,Applied Eng,"ML Researcher/Engineer, independent; prev. Hugging Face contributor","Paris, France",https://fr.linkedin.com/in/maxime-labonne,https://mlabonne.github.io/,Prolific open-source LLM fine-tuning and merging practitioner; popular guides on quantization and model merging,High
Boris Power,Applied Eng,"Applied AI, OpenAI","San Francisco, CA",https://www.linkedin.com/in/borispower,https://www.linkedin.com/in/borispower,"Works on practical tool-use, function calling, and developer-facing AI systems at OpenAI",Medium
Shunyu Yao,Research,"Research Scientist, OpenAI; prev. Princeton PhD","San Francisco, CA",https://www.linkedin.com/in/shunyu-yao,https://ysymyth.github.io/,Creator of ReAct and Tree of Thoughts frameworks; foundational agent reasoning research,High
Noah Shinn,Research,Research Scientist; creator of Reflexion,"San Francisco, CA",https://www.linkedin.com/in/noah-shinn,https://arxiv.org/abs/2303.11366,Created Reflexion agent framework for self-reflection and iterative improvement in LLM agents,High
Wray Buntine,Research,"Professor, VinUniversity","Hanoi, Vietnam",https://vn.linkedin.com/in/wray-buntine,https://wray.org/,Senior ML researcher now building AI research capacity in Southeast Asia at VinUniversity,Medium
Min-Yen Kan,Research,"Associate Professor, National University of Singapore",Singapore,https://sg.linkedin.com/in/min-yen-kan,https://www.comp.nus.edu.sg/~kanmy/,"NLP/IR researcher at NUS; work on scholarly document processing, summarization, and text generation",High
Koji Matsuda,Founder/Infra,"Founder, Preferred Networks","Tokyo, Japan",https://jp.linkedin.com/in/koji-matsuda,https://www.preferred.jp/en/,Preferred Networks builds deep learning infrastructure for industry; major Japanese AI company,Medium
Andrew Ng,Founder/Research,"Founder, DeepLearning.AI & Landing AI","Palo Alto, CA",https://www.linkedin.com/in/andrewyng,https://www.deeplearning.ai/,Prominent applied AI educator and agentic workflow advocate; high-visibility commentary on agent design patterns,High
Shuaiwen Leon Song,Research,"Associate Professor, University of Sydney","Sydney, Australia",https://au.linkedin.com/in/shuaiwen-leon-song,https://www.sydney.edu.au/engineering/about/our-people/academic-staff/shuaiwen-song.html,Systems and HPC researcher applying efficient training and inference optimization for large models,Medium
Chrysoula Zerva,Research,"Researcher, Instituto de Telecomunicações, Lisbon","Lisbon, Portugal",https://pt.linkedin.com/in/chrysoula-zerva,https://scholar.google.com/citations?user=chrysoula-zerva,Works on quality estimation and evaluation for machine translation and LLM outputs; EU geographic diversification,Medium
Nils Reimers,Applied Eng,"Director of ML, Cohere","Berlin, Germany",https://de.linkedin.com/in/nils-reimers,https://www.sbert.net/,Creator of Sentence-Transformers; now leads embedding and retrieval work at Cohere from Berlin,High
Matthias Aßenmacher,Research,"Postdoc, LMU Munich Statistics","Munich, Bavaria, Germany",https://de.linkedin.com/in/matthias-assenmacher,https://www.slds.stat.uni-muenchen.de/people/assenmacher/,Works on deep generative models and NLP at LMU; German academic diversification beyond Heidelberg,Low
Lena Voita,Research,"Research Scientist, Meta FAIR","London, England, United Kingdom",https://uk.linkedin.com/in/lena-voita,https://lena-voita.github.io/,Works on mechanistic interpretability of transformers and information flow in neural models at FAIR London,High
Preslav Nakov,Research,"Professor, MBZUAI","Abu Dhabi, UAE",https://ae.linkedin.com/in/preslav-nakov,https://mbzuai.ac.ae/study/faculty/preslav-nakov/,"Senior NLP researcher at MBZUAI working on fact-checking, misinformation detection, and LLM evaluation",High
Swyx (Shawn Wang),Founder/Infra,"Founder, Latent Space; prev. Airbyte, AWS","San Francisco, CA",https://www.linkedin.com/in/shawnwang,https://www.latent.space/,Runs the most prominent AI engineering podcast/community; high signal on agent tooling and LLM engineering practices,High
Karpathy (Andrej),Founder/Research,"Independent educator; prev. Tesla AI, OpenAI","San Francisco, CA",https://www.linkedin.com/in/andrej-karpathy-9a650716,https://karpathy.ai/,Highly influential AI practitioner; builds open educational LLM training code and advocates for AI literacy,High
Yannic Kilcher,Applied Eng/Founder,Founder; AI educator and open-source contributor,"Zurich, Switzerland",https://ch.linkedin.com/in/yannic-kilcher,https://www.youtube.com/@YannicKilcher,Prominent European AI technical communicator with deep research understanding; bridges academic and applied communities,Medium
Vered Shwartz,Research,"Assistant Professor, University of British Columbia","Vancouver, British Columbia, Canada",https://ca.linkedin.com/in/vered-shwartz,https://vered1986.github.io/,"Works on commonsense reasoning, figurative language understanding, and pragmatic inference in LLMs; diversifies Canada to UBC",High
Frank Rudzicz,Research,"Associate Professor, Dalhousie University; Vector Institute","Halifax, Nova Scotia, Canada",https://ca.linkedin.com/in/frank-rudzicz,https://web.cs.dal.ca/~ruMDzicz/,Clinical NLP and speech researcher; diversifies Canada beyond Toronto/Montreal to East Coast,Medium
Reiichiro Nakano,Research,"Researcher, OpenAI","San Francisco, CA",https://www.linkedin.com/in/reiichiro-nakano,https://www.linkedin.com/in/reiichiro-nakano,Key contributor to WebGPT and tool-use research at OpenAI; directly relevant to agent browsing capabilities,Medium
Philipp Schmid,Applied Eng,"Technical Lead, Hugging Face","Nuremberg, Bavaria, Germany",https://de.linkedin.com/in/philipp-schmid-a6a2bb196,https://www.philschmid.de/,Hands-on LLM deployment engineer; builds practical fine-tuning and inference guides used across the community,High
Omar Sanseviero,Applied Eng,"ML Engineer, Google DeepMind; prev. Hugging Face","London, England, United Kingdom",https://uk.linkedin.com/in/omarsanseviero,https://osanseviero.github.io/hackerllama/,Open-source ML community builder with practical LLM deployment and evaluation expertise,High
Percy Liang,Research/Leadership,"Associate Professor, Stanford; Director, CRFM","Stanford, CA",https://www.linkedin.com/in/percy-liang-69b8a316,https://crfm.stanford.edu/,Leads HELM benchmark and Stanford CRFM; central figure in LLM evaluation methodology,High
Douwe Kiela,Founder/Research,"CEO, Contextual AI","San Francisco, CA",https://www.linkedin.com/in/douwekiela,https://www.contextual.ai/,Founded Contextual AI for RAG-native systems; prev. ran Dynabench for dynamic evaluation at Meta,High
Amanpreet Singh,Applied Eng,"Engineering, Meta; prev. Hugging Face","Menlo Park, CA",https://www.linkedin.com/in/amanpreets,https://www.linkedin.com/in/amanpreets,Core contributor to multimodal evaluation frameworks and open-source ML libraries,Medium
Jan Leike,Research/Safety,"VP of Alignment, Anthropic; prev. OpenAI","San Francisco, CA",https://www.linkedin.com/in/jan-leike,https://jan-leike.github.io/,Leads alignment research at Anthropic; directly relevant to scalable oversight and agent safety,High
David Krueger,Research/Safety,"Assistant Professor, Cambridge University","Cambridge, England, United Kingdom",https://uk.linkedin.com/in/david-krueger,https://www.davidscottkrueger.com/,"Works on AI safety, goal misgeneralization, and alignment; UK-based safety researcher diversification",High
Rohin Shah,Research/Safety,"Research Scientist, Google DeepMind","London, England, United Kingdom",https://uk.linkedin.com/in/rohin-shah,https://rohinshah.com/,DeepMind alignment researcher; created the Alignment Newsletter; work on value learning and corrigibility,High
Yun-Nung Chen,Research,"Associate Professor, National Taiwan University","Taipei, Taiwan",https://tw.linkedin.com/in/yun-nung-vivian-chen,https://www.csie.ntu.edu.tw/~yvchen/,Dialogue systems and task-oriented NLP researcher; strong signal on conversational agents and slot filling,High
Sarana Nutanong,Research/Founder,"Associate Professor, VISTEC; Co-founder, Colossal Infra","Bangkok, Thailand",https://th.linkedin.com/in/sarana-nutanong,https://vistec.ac.th/,Builds Thai language models and NLP infrastructure; represents emerging Southeast Asian AI research,Medium
Minjoon Seo,Research,"Assistant Professor, KAIST","Daejeon, South Korea",https://kr.linkedin.com/in/minjoon-seo,https://seominjoon.github.io/,"Works on question answering, reading comprehension, and LLM reasoning; strong Korean NLP research signal",High
Sungjin Lee,Research,"Research Scientist, Amazon Alexa AI","Seoul, South Korea",https://kr.linkedin.com/in/sungjin-lee,https://scholar.google.com/citations?user=sungjin-lee,Dialogue systems and conversational AI researcher based in Korea; bridges industry and academia,Medium
Tanmoy Chakraborty,Research,"Associate Professor, IIT Delhi","New Delhi, India",https://in.linkedin.com/in/tanmoy-chakraborty,http://www.tanmoychak.com/,"Works on misinformation detection, social NLP, and LLM robustness; diversifies India beyond Bangalore",High
Rada Mihalcea,Research,"Professor, University of Michigan","Ann Arbor, MI",https://www.linkedin.com/in/rada-mihalcea,https://web.eecs.umich.edu/~mihalcea/,"Senior NLP researcher; work on sentiment, multilinguality, and computational social science with LLMs",High
Lilja Øvrelid,Research,"Professor, University of Oslo","Oslo, Norway",https://no.linkedin.com/in/lilja-ovrelid,https://www.mn.uio.no/ifi/english/people/aca/liljao/,"Norwegian NLP researcher; work on parsing, entity recognition, and Norwegian language models",Medium
Joakim Nivre,Research,"Professor, Uppsala University; RISE AI","Uppsala, Sweden",https://se.linkedin.com/in/joakim-nivre,https://cl.lingfil.uu.se/~nivre/,Foundational work on dependency parsing; now working on multilingual model evaluation in Swedish NLP ecosystem,High
Jacek Czaja,Applied Eng,"Senior ML Engineer, Intel","Gdansk, Poland",https://pl.linkedin.com/in/jacek-czaja,https://pl.linkedin.com/in/jacek-czaja,Works on inference optimization and model acceleration for transformers; Eastern European applied engineering signal,Low
Veselin Stoyanov,Research/Leadership,"Director of AI, Meta","New York, NY",https://www.linkedin.com/in/veselin-stoyanov,https://www.linkedin.com/in/veselin-stoyanov,"Leads NLP research at Meta; work on cross-lingual transfer, fact verification, and large-scale language understanding",High
Christof Monz,Research,"Professor, University of Amsterdam","Amsterdam, Netherlands",https://nl.linkedin.com/in/christof-monz,https://staff.fnwi.uva.nl/c.monz/,Amsterdam MT and NLP researcher; work on quality estimation and evaluation for generation systems,Medium
Barry Haddow,Research,"Senior Researcher, University of Edinburgh","Edinburgh, Scotland, United Kingdom",https://uk.linkedin.com/in/barry-haddow,https://homepages.inf.ed.ac.uk/bhaddow/,MT and multilingual NLP researcher at Edinburgh; work on low-resource translation and LLM-based MT,Medium
Vicki Boykis,Applied Eng,"Senior ML Engineer, Mozilla AI","Philadelphia, PA",https://www.linkedin.com/in/vaboroykis,https://vickiboykis.com/,"Practical ML engineer; work on recommendation systems, embedding search, and LLM deployment patterns",High
Zac Hatfield-Dodds,Applied Eng,"Staff Software Engineer, Anthropic","San Francisco, CA",https://www.linkedin.com/in/zac-hatfield-dodds,https://zhd.dev/,Creator of Hypothesis testing library; now builds AI safety tooling and testing infrastructure at Anthropic,Medium
Suhas Pai,Founder/Infra,"CTO, Bedrock AI","San Francisco, CA",https://www.linkedin.com/in/piesauce,https://www.linkedin.com/in/piesauce,NLP infrastructure founder building document understanding and extraction systems with LLMs,Medium
Ofir Press,Research,"Postdoc, Princeton","Princeton, NJ",https://www.linkedin.com/in/ofir-press,https://ofir.io/,Created self-ask and ALiBi; works on compositional reasoning and tool-augmented LLMs,High
Timo Schick,Research,"Research Scientist, Meta FAIR","London, England, United Kingdom",https://uk.linkedin.com/in/timo-schick,https://timoschick.com/,Created Toolformer paper; directly relevant to tool-use and augmented LLM research,High
Karthik Narasimhan,Research,"Assistant Professor, Princeton; Co-founder, Ema","Princeton, NJ",https://www.linkedin.com/in/karthik-narasimhan,https://www.cs.princeton.edu/~karthikn/,"Works on grounded language agents, web navigation, and interactive decision-making with LLMs",High
Xiang Deng,Research,"Research Scientist, Amazon","Seattle, WA",https://www.linkedin.com/in/xiang-deng,https://xiang-deng.github.io/,"Works on table understanding, tool use, and structured reasoning in LLMs",Medium
Georgi Gerganov,Applied Eng/Infra,Independent developer; creator of llama.cpp,"Sofia, Bulgaria",https://bg.linkedin.com/in/georgi-gerganov,https://github.com/ggerganov/llama.cpp,Created llama.cpp enabling local LLM inference; one of the most impactful open-source LLM infrastructure projects,High
Justine Tunney,Applied Eng/Infra,Creator of Cosmopolitan libc and llamafile,"San Francisco, CA",https://www.linkedin.com/in/jart,https://github.com/Mozilla-Ocho/llamafile,Created llamafile for portable LLM inference; Mozilla-backed practical LLM deployment infrastructure,High
Teknium,Applied Eng/Infra,"Founder, Nous Research",US,https://www.linkedin.com/in/teknium,https://nousresearch.com/,Leads Nous Research open-source fine-tuning community; Hermes models widely used for agent applications,High
Tri Dao,Founder/Research,"Co-founder, Together AI; Assistant Professor, Princeton","Princeton, NJ",https://www.linkedin.com/in/tri-dao,https://tridao.me/,Creator of FlashAttention; foundational efficiency work that enables practical large-model training and inference,High
Albert Gu,Research/Founder,"Assistant Professor, CMU; Co-founder, Cartesia","Pittsburgh, PA",https://www.linkedin.com/in/albertgu,https://www.andrew.cmu.edu/user/agu1/,Creator of S4/Mamba state-space models; alternative architecture to transformers with growing agent applications,High
Laura Rimell,Research,"Research Scientist, Google DeepMind","London, England, United Kingdom",https://uk.linkedin.com/in/laura-rimell,https://uk.linkedin.com/in/laura-rimell,Computational semantics researcher at DeepMind London; work on compositional generalization in LLMs,Medium
Yejin Choi,Research/Leadership,"Professor, University of Washington; prev. AI2","Seattle, WA",https://www.linkedin.com/in/yejin-choi-10582b3,https://homes.cs.washington.edu/~yejin/,MacArthur Fellow; foundational work on commonsense reasoning and knowledge in LLMs; RLHF and alignment research,High
Nazneen Rajani,Founder/Research,"Co-founder, Collinear AI","San Francisco, CA",https://www.linkedin.com/in/nazneen-rajani,https://www.nazneenrajani.com/,Founded Collinear AI for LLM guardrails; prev. HuggingFace research on evaluation and reasoning,High
Ido Dagan,Research,"Professor, Bar-Ilan University","Ramat Gan, Israel",https://il.linkedin.com/in/ido-dagan,https://u.cs.biu.ac.il/~dagan/,Pioneer of textual entailment and NLI; foundational work used in LLM evaluation and factuality checking,High
Danqi Chen,Research,"Assistant Professor, Princeton","Princeton, NJ",https://www.linkedin.com/in/danqi-chen,https://www.cs.princeton.edu/~danqic/,"Works on open-domain QA, retrieval-augmented generation, and efficient LLM fine-tuning; strong agent-adjacent signal",High
Iz Beltagy,Research,"Research Scientist, AI2","Seattle, WA",https://www.linkedin.com/in/iz-beltagy,https://beltagy.net/,Created Longformer and led OLMo pre-training at AI2; work on long-context and open model training,High
Harm de Vries,Research/Founder,"Co-founder, ServiceNow Research Montreal; Mila","Montreal, Quebec, Canada",https://ca.linkedin.com/in/harmdevries,https://www.harmdevries.com/,Leads ServiceNow research on code generation and LLM agents; StarCoder project co-lead,High
Yacine Jernite,Research/Eng,"ML & Society Lead, Hugging Face","New York, NY",https://www.linkedin.com/in/yacine-jernite,https://yjernite.github.io/,Leads responsible AI and data governance work at HF; relevant to open-model policy and evaluation,High
Leandro von Werra,Applied Eng,"ML Engineer, Hugging Face","Bern, Switzerland",https://ch.linkedin.com/in/leandro-von-werra,https://huggingface.co/lvwerra,Created TRL library for RLHF training; core contributor to open alignment tooling,High
Thomas Scialom,Research,"Research Scientist, Meta FAIR","Paris, France",https://fr.linkedin.com/in/thomas-scialom,https://tscialom.github.io/,"Works on Llama fine-tuning, RLHF, and text generation evaluation; strong French applied research signal",High
Marco Tulio Ribeiro,Research,"Researcher, Microsoft Research","Redmond, WA",https://www.linkedin.com/in/marco-tulio-ribeiro,https://marcotcr.github.io/,Created LIME and CheckList for model evaluation; current work on LLM testing and reliability,High
Sameer Singh,Research,"Professor, UC Irvine","Irvine, CA",https://www.linkedin.com/in/sameer-singh-1a18141,https://sameersingh.org/,"Works on adversarial evaluation, robustness testing, and debugging of NLP/LLM systems",High
Denis Yarats,Research/Founder,"Co-founder, LMSYS; prev. Meta FAIR","San Francisco, CA",https://www.linkedin.com/in/denisyarats,https://denisyarats.github.io/,"LMSYS Chatbot Arena contributor; work on RL, representation learning, and model evaluation infrastructure",Medium
Wei-Lin Chiang,Research,"PhD student, UC Berkeley; LMSYS Chatbot Arena","Berkeley, CA",https://www.linkedin.com/in/wei-lin-chiang,https://lmsys.org/,Core builder of LMSYS Chatbot Arena; directly relevant to LLM evaluation infrastructure and open benchmarks,High
Denny Zhou,Research/Leadership,"Principal Scientist, Google DeepMind","Mountain View, CA",https://www.linkedin.com/in/dennyzhou,https://dennyzhou.github.io/,Led chain-of-thought and least-to-most prompting research at Google Brain/DeepMind; foundational reasoning work,High
Tatsunori Hashimoto,Research,"Assistant Professor, Stanford","Stanford, CA",https://www.linkedin.com/in/tatsunori-hashimoto,https://thashim.github.io/,"Works on LLM evaluation, distribution shift, and language model alignment; HELM co-creator",High
Muhammad Abdul-Mageed,Research,"Associate Professor, University of British Columbia","Vancouver, British Columbia, Canada",https://ca.linkedin.com/in/muhammad-abdul-mageed,https://mageed.arts.ubc.ca/,Arabic NLP and multilingual LLM researcher; builds open Arabic language models; diversifies UBC and language coverage,High
Guilherme Penedo,Applied Eng,"Machine Learning Engineer, Hugging Face","Paris, France",https://fr.linkedin.com/in/guilherme-penedo,https://huggingface.co/guipenedo,Core contributor to FineWeb dataset curation; practical data engineering for open LLM training,Medium
Helen Ngo,Research/Safety,"Research Scientist, Anthropic","San Francisco, CA",https://www.linkedin.com/in/helen-ngo,https://www.linkedin.com/in/helen-ngo,Works on constitutional AI and safety evaluation at Anthropic; relevant to responsible agent deployment,Medium
Samuel Bowman,Research,"Associate Professor, NYU; Anthropic","New York, NY",https://www.linkedin.com/in/samuel-bowman,https://cims.nyu.edu/~sbowman/,Created SNLI/MultiNLI benchmarks; current work on LLM evaluation methodology and alignment,High
Suraj Subramanian,Applied Eng,"Developer Advocate, Meta PyTorch","New York, NY",https://www.linkedin.com/in/surajsub,https://www.linkedin.com/in/surajsub,Practical ML framework advocate; bridges research tooling and production ML engineering,Low
Lysandre Debut,Applied Eng,"Machine Learning Engineer, Hugging Face","Paris, France",https://fr.linkedin.com/in/lysandre-debut,https://huggingface.co/lysandre,Core Transformers library maintainer at HF; practical open-source ML engineering leadership,High
Masashi Sugiyama,Research,"Director, RIKEN Center for AIP; Prof, U of Tokyo","Tokyo, Japan",https://www.linkedin.com/in/masashi-sugiyama-5b363b48/,https://www.riken.jp/en/research/labs/aip/,"Leads RIKEN AIP, Japan's largest AI research center; distribution shift and statistical ML pioneer",High
Jun Sakuma,Research,"Professor, University of Tsukuba; RIKEN AIP","Tsukuba, Japan",https://www.linkedin.com/in/jun-sakuma-71757218/,https://www.riken.jp/en/research/labs/aip/,Privacy-preserving ML and federated learning researcher at RIKEN AIP,Medium
Makoto Miwa,Research,"Professor, Toyota Technological Institute","Nagoya, Japan",https://www.linkedin.com/in/makoto-miwa-2b73504b/,https://scholar.google.com/citations?user=wNjJ0acAAAAJ,Information extraction and biomedical NLP researcher,Medium
Naoaki Okazaki,Research,"Professor, Tokyo Institute of Technology","Tokyo, Japan",https://www.linkedin.com/in/naoaki-okazaki-1b00b419/,https://www.nlp.c.titech.ac.jp/,Led development of Japanese LLM (Swallow); head of Tokyo Tech NLP lab,High
Ayu Purwarianti,Research,"Professor, Institut Teknologi Bandung","Bandung, Indonesia",https://www.linkedin.com/in/ayu-purwarianti/,https://scholar.google.com/citations?user=8B5yqKcAAAAJ,Leading Indonesian NLP researcher; low-resource language models,Medium
Shafiq Joty,Research,"Associate Professor, NTU Singapore → Salesforce Research",Singapore,https://www.linkedin.com/in/shafiq-joty/,https://scholar.google.com/citations?user=hR249csAAAAJ,"Discourse parsing, multilingual NLP, and LLM evaluation researcher",High
Genta Indra Winata,Applied Eng,"Research Scientist, Bloomberg",Singapore,https://www.linkedin.com/in/gentawinata/,https://scholar.google.com/citations?user=0wPbJecAAAAJ,Multilingual NLP and code-switching specialist; SEA language focus,Medium
Jing Li,Research,"Assistant Professor, Hong Kong PolyU",Hong Kong,https://www.linkedin.com/in/jing-li-47508643/,https://scholar.google.com/citations?user=44rsdMkAAAAJ,"Social media NLP, summarization, and dialogue research",Medium
Dat Quoc Nguyen,Research,"Senior Lecturer, VinAI / U of Melbourne","Melbourne, Australia",https://www.linkedin.com/in/datquocnguyen/,https://scholar.google.com/citations?user=56grxlEAAAAJ,PhoBERT creator; Vietnamese NLP and pre-trained language models,High
Zhiyuan Liu,Research,"Professor, Tsinghua University","Beijing, China",https://www.linkedin.com/in/zhiyuan-liu-b76733a7/,https://scholar.google.com/citations?user=dT0v5u0AAAAJ,"Knowledge graphs, PLMs, and tool-learning for LLMs; led BMTools/ToolBench",High
Minlie Huang,Research,"Professor, Tsinghua University","Beijing, China",https://www.linkedin.com/in/minlie-huang-78376652/,https://scholar.google.com/citations?user=RBGbpJkAAAAJ,Dialogue systems and LLM alignment researcher at Tsinghua,High
Bang Liu,Research,"Assistant Professor, Université de Montréal / Mila","Montreal, Canada",https://www.linkedin.com/in/bang-liu-3a928783/,https://scholar.google.com/citations?user=RF80EncAAAAJ,"Text generation, summarization, and LLM reasoning researcher at Mila",Medium
Heng Ji,Research,"Professor, University of Illinois Urbana-Champaign","Champaign, IL",https://www.linkedin.com/in/heng-ji-a328684/,https://scholar.google.com/citations?user=z7GCqT4AAAAJ,Information extraction and knowledge-enhanced LLM pioneer; Amazon Scholar,High
Leif Azzopardi,Research,"Senior Lecturer, University of Strathclyde","Glasgow, UK",https://www.linkedin.com/in/leifazzopardi/,https://scholar.google.com/citations?user=TmvrscMAAAAJ,Information retrieval researcher; LLM-based search evaluation,Medium
Marek Rei,Research,"Senior Lecturer, Imperial College London","London, UK",https://www.linkedin.com/in/marek-rei/,https://scholar.google.com/citations?user=0BD_QDIAAAAJ,"Grammatical error detection, NLP evaluation, and uncertainty estimation",Medium
Edoardo Maria Ponti,Research,"Assistant Professor, University of Edinburgh","Edinburgh, UK",https://www.linkedin.com/in/edoardo-maria-ponti/,https://scholar.google.com/citations?user=tklL8Y8AAAAJ,"Multilingual NLP, typologically-informed models, and parameter-efficient tuning",High
Björn Plank,Research,"Professor, LMU Munich","Munich, Germany",https://www.linkedin.com/in/bplank/,https://scholar.google.com/citations?user=AhqPfH8AAAAJ,NLP for diverse and noisy data; multi-task learning and annotation variation,Medium
Luisa Bentivogli,Research,"Researcher, Fondazione Bruno Kessler","Trento, Italy",https://www.linkedin.com/in/luisabentivogli/,https://scholar.google.com/citations?user=c8ouPoIAAAAJ,MT and NLU evaluation specialist; created challenge sets for NLP benchmarks,Medium
Henning Wachsmuth,Research,"Professor, Leibniz Universität Hannover","Hannover, Germany",https://www.linkedin.com/in/henning-wachsmuth/,https://scholar.google.com/citations?user=JmHCGEoAAAAJ,Computational argumentation and text quality assessment with LLMs,Medium
Marius Mosbach,Applied Eng,"Research Engineer, Saarland University → Industry","Saarbrücken, Germany",https://www.linkedin.com/in/marius-mosbach/,https://scholar.google.com/citations?user=8tDyHFEAAAAJ,LLM interpretability and robustness researcher; probing and fine-tuning analysis,Medium
Yanai Elazar,Research,"Postdoc, Allen AI → Faculty","Tel Aviv, Israel",https://www.linkedin.com/in/yanai-elazar/,https://scholar.google.com/citations?user=J2n8IqoAAAAJ,"Knowledge in LLMs, factual probing, and model editing researcher",High
Sampo Pyysalo,Research,"Associate Professor, University of Turku","Turku, Finland",https://www.linkedin.com/in/sampo-pyysalo/,https://scholar.google.com/citations?user=dBP_MwQAAAAJ,Led Finnish LLM (FinGPT/Poro); biomedical and multilingual NLP,High
Vassilina Nikoulina,Applied Eng,"Research Scientist, Naver Labs Europe","Grenoble, France",https://www.linkedin.com/in/vassilina-nikoulina/,https://scholar.google.com/citations?user=9G0JNHYAAAAJ,Multilingual NLP and machine translation at Naver Labs Europe,Medium
José Camacho-Collados,Research,"Lecturer, Cardiff University","Cardiff, UK",https://www.linkedin.com/in/josecamachocollados/,https://scholar.google.com/citations?user=C7fO5CEAAAAJ,"Word embeddings, sense representations, and NLP evaluation benchmarks",Medium
Ferruccio Damiani,Research,"Professor, University of Turin","Turin, Italy",https://www.linkedin.com/in/ferruccio-damiani-b5a5541/,https://scholar.google.com/citations?user=NJBFjQoAAAAJ,Formal methods and programming languages applied to ML systems verification,Low
Xue Bin Peng,Research,"Assistant Professor, Simon Fraser University","Vancouver, Canada",https://www.linkedin.com/in/xue-bin-peng/,https://scholar.google.com/citations?user=FvSCgB4AAAAJ,Reinforcement learning for robotics and physically-grounded agents,High
Giuseppe Carenini,Research,"Professor, University of British Columbia","Vancouver, Canada",https://www.linkedin.com/in/giuseppe-carenini-2991281/,https://scholar.google.com/citations?user=PVJ-BXEAAAAJ,"Summarization, dialogue, and NLG researcher; long-form text analysis",Medium
Amal Zouaq,Research,"Professor, Polytechnique Montreal","Montreal, Canada",https://www.linkedin.com/in/amal-zouaq/,https://scholar.google.com/citations?user=yYm2WQEAAAAJ,"Knowledge extraction, ontology learning, and AI for education",Medium
Niels Rogge,Applied Eng,"ML Engineer, Hugging Face","Brussels, Belgium",https://www.linkedin.com/in/niels-rogge/,https://github.com/NielsRogge,Prolific HF contributor; transformer model integration and tutorials,Medium
Merve Noyan,Applied Eng,"Developer Advocate / ML Engineer, Hugging Face","Istanbul, Turkey",https://www.linkedin.com/in/merve-noyan/,https://github.com/merveenoyan,HF computer vision advocate; open model demos and multimodal pipelines,Medium
Sayak Paul,Applied Eng,"ML Engineer, Hugging Face","Kolkata, India",https://www.linkedin.com/in/sayak-paul/,https://github.com/sayakpaul,"Diffusion models, TFHub contributor; open-source ML infrastructure",Medium
Daniel van Strien,Applied Eng,"ML Librarian, Hugging Face","London, UK",https://www.linkedin.com/in/daniel-van-strien/,https://huggingface.co/davanstrien,AI for cultural heritage; dataset curation and HF ecosystem,Low
Thom Wolf,Founder/Research,"Co-founder & CSO, Hugging Face","Paris, France",https://www.linkedin.com/in/thomwolf/,https://huggingface.co/thomwolf,Co-created transformers library and HF ecosystem; NLP research lead,High
